limit,max,pollutant,station,year
1.0,18.96968187703932,NO2,all,2015
0.0,17.90205754501995,NO2,all,2016
0.0,18.96968187703932,NO2,guildhall,2015
0.0,17.90205754501995,NO2,guildhall,2016
4.0,18.96968187703932,NO2,londonrdaurn,2015
0.0,17.90205754501995,NO2,londonrdaurn,2016
0.0,18.96968187703932,NO2,londonrdenc,2015
0.0,17.90205754501995,NO2,londonrdenc,2016
0.0,18.96968187703932,NO2,windsorbridge,2015
0.0,17.90205754501995,NO2,windsorbridge,2016
339.5,24.409241279235417,PM10,all,2015
351.0,24.324459885906048,PM10,all,2016
337.0,24.409241279235417,PM10,londonrdenc,2015
158.0,24.324459885906048,PM10,londonrdenc,2016
342.0,24.409241279235417,PM10,windsorbridge,2015
544.0,24.324459885906048,PM10,windsorbridge,2016
